ZAWODNIK,KLUB,POZYCJA,MIN,MECZE,OSTATNI GOL,PRZECIW
Arkadiusz Woźniak,Zagłębie Lubin,pomocnik,1477,31,12.05.2017,Piast
Dragoljub Srnić,Śląsk Wrocław,pomocnik,1351,28,-,-
Szymon Żurkowski,Górnik Zabrze,pomocnik,1348,16,03.12.2017,Wisła K.
Rafał Murawski,Pogoń Szczecin,pomocnik,1336,23,04.06.2017,Korona
Javi Hernandez,Cracovia,pomocnik,1335,16,18.12.2017,Górnik Z.
Łukasz Kosakiewicz,Korona Kielce,pomocnik,1320,26,22.07.2017,Legia
Jarosław Kubicki,Zagłębie Lubin,pomocnik,1316,16,24.09.2017,Sandecja
Nikola Mitrović,Wisła Kraków,pomocnik,1303,15,-,-
Damian Szymański,Wisła Płock,pomocnik,1284,14,09.02.2018,Górnik Z.
Vlastimir Jovanović,Bruk-Bet Termalica,pomocnik,1279,15,27.11.2017,Wisła K.
Łukasz Piątek,Bruk-Bet Termalica,pomocnik,1209,15,02.12.2017,Zagłębie
Rafał Kurzawa,Górnik Zabrze,pomocnik,1197,13,19.02.2018,Bruk-Bet
Damian Rasak,Wisła Płock,pomocnik,1187,24,-,-
Vullnet Basha,Wisła Kraków,pomocnik,1184,16,-,-
Dawid Kort,Pogoń Szczecin,pomocnik,1181,23,17.05.2017,Bruk-Bet
Michael Gardawski,Korona Kielce,pomocnik,1178,18,-,-
Miroslav Covilo,Cracovia,pomocnik,1161,13,10.02.2018,Śląsk
Łukasz Janoszka,Zagłębie Lubin,pomocnik,1114,25,07.04.2017,Jagiellonia
Mario Situm,Lech Poznań,pomocnik,1092,16,27.08.2017,Arka
Adam Deja,Cracovia,pomocnik,1090,14,10.05.2016,Górnik Ł.
Łukasz Zwoliński,Pogoń Szczecin,napastnik,1083,21,23.09.2017,Górnik Z.
Jakub Piotrowski,Pogoń Szczecin,pomocnik,1023,12,10.02.2018,Sandecja
Przemysław Frankowski,Jagiellonia Białystok,pomocnik,1020,11,05.03.2018,Wisła K.
Marko Vesović,Legia Warszawa,pomocnik,1003,11,04.03.2018,Lech
Mateusz Wdowiak,Cracovia,pomocnik,990,20,25.08.2017,Śląsk
Konrad Michalak,Wisła Płock,pomocnik,966,14,09.02.2018,Górnik Z.
Chris Philipps,Legia Warszawa,pomocnik,924,12,-,-
Dario Rugasević,Piast Gliwice,pomocnik,890,10,-,-
Grzegorz Kuświk,Lechia Gdańsk,napastnik,879,25,25.02.2017,Cracovia
Zlatko Janjić,Korona Kielce,pomocnik,863,14,-,-
Mateusz Możdżeń,Korona Kielce,pomocnik,855,11,11.02.2018,Bruk-Bet
Lukas Haraslin,Lechia Gdańsk,pomocnik,835,13,17.05.2017,Jagiellonia
Marcin Cebula,Korona Kielce,pomocnik,827,14,04.12.2017,Cracovia
Sebastian Mila,Lechia Gdańsk,pomocnik,795,16,09.04.2016,Ruch
Piotr Wlazło,Jagiellonia Białystok,pomocnik,725,11,23.02.2018,Lechia
Antoni Łukasiewicz,Arka Gdynia,pomocnik,711,8,19.11.2017,Śląsk
Nicklas Barkroth,Lech Poznań,pomocnik,706,19,-,-
Jakub Łukowski,Wisła Płock,pomocnik,698,25,-,-
Oliver Petrak,Korona Kielce,pomocnik,695,11,-,-
Arkadiusz Reca,Wisła Płock,pomocnik,694,7,07.04.2018,Jagiellonia
Milos Krasić,Lechia Gdańsk,pomocnik,682,16,18.11.2017,Wisła P.
Bartłomiej Dudzic,Sandecja Nowy Sącz,pomocnik,682,13,18.08.2017,Lechia
Sergei Zenjov,Cracovia,pomocnik,676,12,18.12.2017,Górnik Z.
Mateusz Szczepaniak,Piast Gliwice,napastnik,657,8,10.03.2018,Sandecja
Szymon Pawłowski,Bruk-Bet Termalica,pomocnik,656,8,31.03.2018,Cracovia
Maciej Korzym,Sandecja Nowy Sącz,napastnik,654,17,16.10.2015,Lechia
Deniss Rakels,Cracovia,pomocnik,629,11,10.02.2018,Śląsk
Mateusz Cholewiak,Śląsk Wrocław,pomocnik,629,6,15.04.2018,Sandecja
Simeon Sławczew,Lechia Gdańsk,pomocnik,625,9,11.03.2018,Legia
Łukasz Trałka,Lech Poznań,pomocnik,624,7,07.04.2018,Górnik Z.
Pawło Ksionz,Sandecja Nowy Sącz,pomocnik,622,11,-,-
Zdenek Ondrasek,Wisła Kraków,napastnik,620,14,04.03.2017,Piast
Mateusz Matras,Zagłębie Lubin,pomocnik,614,11,-,-
Tomasz Hołota,Pogoń Szczecin,pomocnik,611,7,02.04.2018,Śląsk
Rafał Wolski,Lechia Gdańsk,pomocnik,602,8,23.09.2017,Bruk-Bet
Petar Brlek,Wisła Kraków,pomocnik,595,10,21.07.2017,Bruk-Bet
Nabil Aankour,Korona Kielce,pomocnik,590,9,13.08.2017,Jagiellonia
Kamil Jóźwiak,Lech Poznań,pomocnik,583,7,07.04.2018,Górnik Z.
Paweł Żyra,Zagłębie Lubin,pomocnik,579,14,-,-
Roman Gergel,Bruk-Bet Termalica,pomocnik,574,6,17.03.2018,Pogoń
Patryk Małecki,Wisła Kraków,pomocnik,574,13,08.09.2017,Arka
Antonini Culina,Cracovia,pomocnik,567,14,-,-
Erik Grendel,Górnik Zabrze,pomocnik,552,15,24.08.2015,Zagłębie
Martin Pospisil,Jagiellonia Białystok,pomocnik,543,7,07.04.2018,Wisła P.
Damian Dąbrowski,Cracovia,pomocnik,532,8,08.05.2017,Arka
Eduardo,Legia Warszawa,napastnik,523,10,-,-
Spas Delew,Pogoń Szczecin,pomocnik,520,6,02.04.2018,Śląsk
Aleksander Jagiełło,Piast Gliwice,pomocnik,519,16,01.12.2013,Legia
Karol Angielski,Piast Gliwice,napastnik,514,10,10.03.2018,Sandecja
Gabriel Iancu,Bruk-Bet Termalica,napastnik,513,8,12.12.2017,Śląsk
Semir Stilić,Wisła Płock,pomocnik,510,7,07.04.2018,Jagiellonia
Yannick Kakoko,Arka Gdynia,pomocnik,505,6,08.09.2017,Wisła K.
Aleksandyr Kolew,Sandecja Nowy Sącz,napastnik,505,7,31.03.2018,Górnik Z.
Łukasz Wolsztyński,Górnik Zabrze,napastnik,504,6,19.02.2018,Bruk-Bet
David Guba,Bruk-Bet Termalica,pomocnik,501,19,21.10.2017,Pogoń
Jakub Mares,Zagłębie Lubin,napastnik,499,6,07.04.2018,Cracovia
Nika Kaczarawa,Korona Kielce,napastnik,493,7,17.03.2018,Górnik Z.
Radosław Majewski,Lech Poznań,pomocnik,487,6,07.04.2018,Górnik Z.
Tibor Halilović,Wisła Kraków,pomocnik,487,6,16.04.2018,Wisła P.
Andrij Bohdanow,Arka Gdynia,pomocnik,464,6,31.03.2018,Legia
Darko Jevtić,Lech Poznań,pomocnik,460,7,16.03.2018,Lechia
Jakub Gric,Sandecja Nowy Sącz,pomocnik,450,6,-,-
Mateusz Cetnarski,Sandecja Nowy Sącz,pomocnik,443,8,14.10.2017,Piast
Patryk Kun,Arka Gdynia,pomocnik,413,8,17.02.2018,Wisła K.
Arvydas Novikovas,Jagiellonia Białystok,pomocnik,409,5,21.04.2018,Korona
Denis Gojko,Piast Gliwice,pomocnik,409,11,20.05.2017,Górnik Ł.
Radosław Kanach,Cracovia,pomocnik,399,6,-,-
Maciej Pałaszewski,Śląsk Wrocław,pomocnik,392,11,-,-
Damir Sovsić,Sandecja Nowy Sącz,pomocnik,388,9,-,-
Grzegorz Piesio,Arka Gdynia,pomocnik,381,8,12.03.2018,Bruk-Bet
Jacek Kiełb,Korona Kielce,pomocnik,376,7,28.02.2018,Wisła K.
Kasper Hamalainen,Legia Warszawa,pomocnik,374,6,07.04.2018,Pogoń
Morten Rasmussen,Pogoń Szczecin,napastnik,374,8,24.02.2018,Wisła P.
Maciej Gajos,Lech Poznań,pomocnik,345,4,28.04.2018,Górnik Z.
Sławomir Peszko,Lechia Gdańsk,pomocnik,343,4,30.04.2018,Śląsk
Jakub Kosecki,Śląsk Wrocław,pomocnik,341,4,30.04.2018,Lechia
Filip Starzyński,Zagłębie Lubin,pomocnik,333,4,28.04.2018,Wisła P.
Sebastian Kowalczyk,Pogoń Szczecin,pomocnik,327,12,-,-
Filip Piszczek,Sandecja Nowy Sącz,napastnik,314,3,05.05.2018,Piast
Łukasz Moneta,Zagłębie Lubin,pomocnik,302,8,27.05.2017,Arka
Samuel Stefanik,Bruk-Bet Termalica,pomocnik,299,4,29.04.2018,Cracovia
Maciej Makuszewski,Lech Poznań,pomocnik,299,7,26.11.2017,Wisła P.
Maciej Jankowski,Arka Gdynia,napastnik,298,3,27.04.2018,Piast
Konstantin Vassiljev,Piast Gliwice,pomocnik,295,8,15.12.2017,Korona
Milan Dimun,Cracovia,pomocnik,294,3,04.05.2018,Śląsk
Kamil Wojtkowski,Wisła Kraków,pomocnik,285,10,27.11.2017,Bruk-Bet
Romario Balde,Lechia Gdańsk,pomocnik,284,9,11.09.2017,Piast
Daniel Smuga,Górnik Zabrze,pomocnik,276,6,-,-
Wojciech Hajda,Górnik Zabrze,pomocnik,274,9,-,-
Adam Buksa,Pogoń Szczecin,napastnik,268,3,05.05.2018,Arka
Daniel Liszka,Górnik Zabrze,pomocnik,265,6,-,-
Marco Paixao,Lechia Gdańsk,napastnik,258,3,27.02.2018,Bruk-Bet
Adrian Danek,Sandecja Nowy Sącz,pomocnik,255,5,22.04.2018,Arka
Damian Kądzior,Górnik Zabrze,pomocnik,254,3,06.05.2018,Zagłębie
Bartłomiej Pawłowski,Zagłębie Lubin,pomocnik,249,5,07.04.2018,Cracovia
Jesus Imaz,Wisła Kraków,napastnik,246,3,06.05.2018,Korona
Tymoteusz Klupś,Lech Poznań,napastnik,239,7,-,-
Elia Soriano,Korona Kielce,napastnik,237,2,09.05.2018,Górnik Z.
Konrad Nowak,Górnik Zabrze,pomocnik,232,5,03.06.2015,Lech
Nicolai Brock-Madsen,Cracovia,napastnik,231,4,29.04.2018,Bruk-Bet
Łukasz Madej,Śląsk Wrocław,pomocnik,230,3,01.12.2017,Lechia
Bartosz Slisz,Zagłębie Lubin,pomocnik,230,5,-,-
Tom Hateley,Piast Gliwice,pomocnik,220,2,27.04.2018,Śląsk
Florin Purece,Bruk-Bet Termalica,pomocnik,217,6,-,-
Adrian Łyszczarz,Śląsk Wrocław,pomocnik,205,12,-,-
Tomasz Jodłowiec,Piast Gliwice,pomocnik,204,2,05.05.2018,Sandecja
Oskar Zawada,Wisła Płock,napastnik,203,9,-,-
Roman Bezjak,Jagiellonia Białystok,napastnik,193,3,21.04.2018,Korona
Ivan Jukić,Korona Kielce,pomocnik,193,3,07.04.2018,Śląsk
Michal Papadopulos,Piast Gliwice,napastnik,191,3,27.04.2018,Arka
Mateusz Szwoch,Arka Gdynia,pomocnik,190,2,08.05.2018,Cracovia
Giorgi Merebaszwili,Wisła Płock,pomocnik,189,3,10.03.2018,Korona
Martin Kostal,Wisła Kraków,pomocnik,176,4,-,-
Joel Valencia,Piast Gliwice,pomocnik,173,5,10.03.2018,Sandecja
Sebastian Bergier,Śląsk Wrocław,napastnik,171,9,-,-
Miroslav Radović,Legia Warszawa,pomocnik,170,3,27.04.2018,Korona
Patryk Lipski,Lechia Gdańsk,pomocnik,159,1,12.05.2018,Pogoń
Sanel Kapidzić,Korona Kielce,napastnik,157,2,13.04.2018,Lech
Taras Romanczuk,Jagiellonia Białystok,pomocnik,156,1,13.05.2018,Zagłębie
Karol Świderski,Jagiellonia Białystok,napastnik,153,5,14.04.2018,Górnik Z.
Dejan Lazarević,Jagiellonia Białystok,pomocnik,152,8,-,-
Ruben Jurado,Arka Gdynia,napastnik,148,3,05.05.2018,Pogoń
Jakub Serafin,Lech Poznań,pomocnik,147,2,-,-
Cristian Pasquato,Legia Warszawa,pomocnik,147,2,22.04.2018,Wisła K.
Carlitos,Wisła Kraków,napastnik,147,1,09.05.2018,Zagłębie
Rafał Siemaszko,Arka Gdynia,napastnik,140,2,08.05.2018,Cracovia
Cafu,Legia Warszawa,pomocnik,140,2,09.05.2018,Wisła P.
Florian Schikowski,Lechia Gdańsk,pomocnik,137,4,-,-
Marcin Urynowicz,Górnik Zabrze,napastnik,132,1,09.05.2018,Korona
Sebastian Strózik,Cracovia,napastnik,128,6,-,-
Vladislavs Gutkovskis,Bruk-Bet Termalica,napastnik,121,1,12.05.2018,Arka
Christian Gytkjaer,Lech Poznań,napastnik,116,1,13.05.2018,Wisła K.
Sebastian Szymański,Legia Warszawa,pomocnik,116,1,13.05.2018,Górnik Z.
Michał Mak,Śląsk Wrocław,pomocnik,116,1,19.08.2017,Jagiellonia
Luka Zarandia,Arka Gdynia,pomocnik,114,1,07.04.2018,Lechia
Marcin Robak,Śląsk Wrocław,napastnik,112,1,12.05.2018,Piast
Daniel Pik,Cracovia,pomocnik,110,3,-,-
Arkadiusz Piech,Śląsk Wrocław,napastnik,105,2,08.05.2018,Pogoń
Denys Bałaniuk,Wisła Kraków,napastnik,104,7,-,-
Joao Oliveira,Lechia Gdańsk,pomocnik,103,2,08.05.2018,Piast
Kamil Biliński,Wisła Płock,napastnik,99,1,13.05.2018,Korona
Maciej Małkowski,Sandecja Nowy Sącz,pomocnik,96,2,08.05.2018,Bruk-Bet
Nico Varela,Wisła Płock,pomocnik,91,1,13.05.2018,Korona
Daniel Łuczak,Śląsk Wrocław,pomocnik,89,0,19.05.2018,Arka
Kamil Mazek,Zagłębie Lubin,pomocnik,87,1,27.02.2018,Sandecja
Siergiej Kriwiec,Arka Gdynia,pomocnik,81,1,04.03.2018,Cracovia
Kamil Drygas,Pogoń Szczecin,pomocnik,81,0,19.05.2018,Cracovia
Marko Kolar,Wisła Kraków,napastnik,80,5,-,-
Rafał Wolsztyński,Górnik Zabrze,pomocnik,78,2,19.08.2017,Cracovia
Dawid Błanik,Pogoń Szczecin,pomocnik,76,6,-,-
Goran Cvijanović,Korona Kielce,pomocnik,69,1,27.04.2018,Legia
Jarosław Niezgoda,Legia Warszawa,napastnik,69,1,27.04.2018,Korona
Rafał Boguski,Wisła Kraków,pomocnik,69,1,09.05.2018,Zagłębie
Elvir Koljić,Lech Poznań,napastnik,67,5,-,-
Domagoj Antolić,Legia Warszawa,pomocnik,66,0,20.05.2018,Lech
Konrad Andrzejczak,Zagłębie Lubin,pomocnik,65,1,-,-
Wojciech Trochim,Sandecja Nowy Sącz,pomocnik,61,0,19.05.2018,Lechia
Adrian Benedyczak,Pogoń Szczecin,napastnik,60,3,-,-
Krzysztof Janus,Arka Gdynia,pomocnik,58,0,12.05.2018,Bruk-Bet
Szymon Matuszek,Górnik Zabrze,pomocnik,58,0,20.05.2018,Wisła K.
Martin Bukata,Piast Gliwice,pomocnik,55,0,19.05.2018,Bruk-Bet
Jose Kante,Wisła Płock,napastnik,55,0,20.05.2018,Jagiellonia
Ołeksij Chobłenko,Lech Poznań,napastnik,53,2,28.04.2018,Górnik Z.
Enrique Esqueda,Arka Gdynia,napastnik,52,1,22.04.2018,Sandecja
Mateusz Żukowski,Lechia Gdańsk,napastnik,52,2,-,-
Łukasz Krakowczyk,Piast Gliwice,napastnik,52,4,-,-
Bartosz Śpiączka,Bruk-Bet Termalica,napastnik,50,1,12.05.2018,Arka
Mateusz Mak,Piast Gliwice,pomocnik,47,0,19.05.2018,Bruk-Bet
Michał Chrapek,Śląsk Wrocław,pomocnik,45,0,08.05.2018,Pogoń
Krzysztof Piątek,Cracovia,napastnik,42,0,19.05.2018,Pogoń
Piotr Pierzchała,Korona Kielce,napastnik,35,1,-,-
Flavio Paixao,Lechia Gdańsk,pomocnik,34,0,19.05.2018,Sandecja
Jan Łoś,Arka Gdynia,pomocnik,32,2,-,-
Nika Kwantaliani,Bruk-Bet Termalica,pomocnik,32,1,-,-
Dariusz Pawłowski,Górnik Zabrze,napastnik,26,4,-,-
Cillian Sheridan,Jagiellonia Białystok,napastnik,25,0,20.05.2018,Wisła P.
Krzysztof Kiklaisz,Górnik Zabrze,napastnik,24,3,-,-
Wiktor Długosz,Korona Kielce,pomocnik,24,1,-,-
Patryk Tuszyński,Zagłębie Lubin,napastnik,21,0,20.05.2018,Korona
Martin Nespor,Zagłębie Lubin,napastnik,18,0,05.08.2017,Pogoń
Kacper Laskoś,Wisła Kraków,pomocnik,16,1,-,-
Piotr Nowak,Bruk-Bet Termalica,pomocnik,15,1,-,-
Dominik Lasik,Górnik Zabrze,napastnik,15,2,-,-
Paweł Brożek,Wisła Kraków,napastnik,14,1,13.05.2018,Lech
Sylwester Lusiusz,Cracovia,pomocnik,13,2,-,-
Adam Frączczak,Pogoń Szczecin,pomocnik,12,0,19.05.2018,Cracovia
Patryk Paczuk,Pogoń Szczecin,pomocnik,11,1,-,-
Sasa Zivec,Piast Gliwice,pomocnik,9,0,19.05.2018,Bruk-Bet
Michał Kucharczyk,Legia Warszawa,pomocnik,6,0,20.05.2018,Lech
Dawid Pakulski,Zagłębie Lubin,pomocnik,5,2,-,-
Robert Pich,Śląsk Wrocław,pomocnik,4,0,12.05.2018,Piast
Michał Rakoczy,Cracovia,pomocnik,4,1,-,-
Igor Angulo,Górnik Zabrze,napastnik,3,0,20.05.2018,Wisła K.
Jakub Tosik,Zagłębie Lubin,pomocnik,3,0,13.05.2018,Jagiellonia
Jakub Moder,Lech Poznań,pomocnik,1,1,-,-
Przemysław Macierzyński,Lechia Gdańsk,napastnik,1,1,-,-
Brian Iloski,Legia Warszawa,pomocnik,1,1,-,-
Mathieu Scalet,Śląsk Wrocław,pomocnik,1,1,-,-
Hubert Maślanka,Sandecja Nowy Sącz,pomocnik,1,1,-,-
Gerard Badia,Piast Gliwice,pomocnik,0,0,19.05.2018,Bruk-Bet
