ZAWODNIK,KLUB,POZYCJA,MIN,MECZE,OSTATNI GOL,PRZECIW
Piotr Krawczyk,Górnik Zabrze,napastnik,262,7,03.03.2020,Lech
Tomas Prikryl,Jagiellonia Białystok,pomocnik,257,3,05.07.2020,Pogoń
Jose Kante,Legia Warszawa,napastnik,256,5,22.02.2020,Jagiellonia
Dani Ramirez,Lech Poznań,pomocnik,253,2,12.07.2020,Lechia
Sebastian Bergier,Śląsk Wrocław,napastnik,253,20,-,-
Petr Schwarz,Raków Częstochowa,pomocnik,250,2,10.07.2020,Górnik Z.
Santeri Hostikka,Pogoń Szczecin,pomocnik,249,3,14.06.2020,Lechia
Kamil Drygas,Pogoń Szczecin,pomocnik,247,3,05.07.2020,Jagiellonia
Hubert Turski,Pogoń Szczecin,pomocnik,242,8,-,-
Flavio Paixao,Lechia Gdańsk,pomocnik,235,4,24.06.2020,Piast
Michał Nalepa,Arka Gdynia,pomocnik,229,2,11.07.2020,ŁKS
Mateusz Skrzypczak,Lech Poznań,pomocnik,227,5,-,-
Damjan Bohar,Zagłębie Lubin,pomocnik,227,2,04.07.2020,Raków
Petteri Forsell,Korona Kielce,pomocnik,225,2,26.06.2020,Zagłębie L.
Mateusz Szwoch,Wisła Płock,pomocnik,221,2,10.07.2020,Zagłębie L.
Dawid Markiewicz,Arka Gdynia,pomocnik,219,3,-,-
Daniel Pik,Cracovia,pomocnik,219,11,-,-
Hubert Adamczyk,Wisła Płock,pomocnik,213,3,06.07.2020,Górnik Z.
Tiago Alves,Piast Gliwice,pomocnik,212,10,-,-
Dawid Lisowski,Korona Kielce,pomocnik,207,7,-,-
Marcin Cebula,Korona Kielce,pomocnik,205,3,31.05.2020,Wisła P.
Jakub Kałuziński,Lechia Gdańsk,pomocnik,204,3,-,-
Aleksander Buksa,Wisła Kraków,napastnik,204,5,20.06.2020,Raków
Sebastian Strózik,Cracovia,napastnik,203,11,15.12.2018,Pogoń
Kamil Jóźwiak,Lech Poznań,pomocnik,201,2,12.07.2020,Lechia
Fran Tudor,Raków Częstochowa,pomocnik,201,2,04.07.2020,Zagłębie L.
Marko Vejinović,Arka Gdynia,pomocnik,196,3,07.06.2020,Śląsk
Maciej Rosołek,Legia Warszawa,napastnik,195,4,27.06.2020,Piast
Ben Lederman,Raków Częstochowa,pomocnik,190,6,-,-
Mateusz Praszelik,Śląsk Wrocław,pomocnik,182,5,-,-
Sergiu Hanca,Cracovia,pomocnik,180,2,04.07.2020,Lechia
Egyon Kryeziu,Lechia Gdańsk,pomocnik,180,2,-,-
Piotr Parzyszek,Piast Gliwice,napastnik,180,2,12.07.2020,Jagiellonia
Vukan Savićević,Wisła Kraków,pomocnik,172,2,10.06.2020,Raków
Taras Romanczuk,Jagiellonia Białystok,pomocnik,168,1,15.07.2020,Śląsk
Michał Trąbka,ŁKS Łódź,pomocnik,164,1,14.07.2020,Raków
Radosław Cielemęcki,Legia Warszawa,pomocnik,161,2,-,-
Tomas Podstawski,Pogoń Szczecin,pomocnik,159,1,15.07.2020,Piast
Piotr Samiec-Talar,Śląsk Wrocław,napastnik,147,12,-,-
Piotr Tomasik,Wisła Płock,pomocnik,147,2,27.06.2020,ŁKS
Dawid Kocyła,Wisła Płock,napastnik,136,1,14.07.2020,Korona
Przemysław Płacheta,Śląsk Wrocław,pomocnik,135,1,12.07.2020,Pogoń
Jesus Jimenez,Górnik Zabrze,pomocnik,134,2,10.07.2020,Raków
Sasa Zivec,Zagłębie Lubin,pomocnik,134,1,14.07.2020,Wisła K.
Marcus Vinicius,Arka Gdynia,pomocnik,132,1,14.07.2020,Górnik Z.
Rafael Lopes,Cracovia,napastnik,132,1,04.07.2020,Lechia
Kacper Urbański,Lechia Gdańsk,pomocnik,128,3,-,-
Maciej Jankowski,Arka Gdynia,napastnik,127,1,11.07.2020,ŁKS
Paweł Tomczyk,Lech Poznań,napastnik,126,6,20.09.2019,Jagiellonia
Oskar Sewerzyński,Korona Kielce,pomocnik,122,5,-,-
Artur Lenartowski,Raków Częstochowa,pomocnik,122,6,22.08.2015,Bruk-Bet
Vladislavs Gutkovskis,Raków Częstochowa,napastnik,121,1,12.05.2018,Arka
Dawid Pakulski,Zagłębie Lubin,pomocnik,117,7,13.09.2019,Wisła P.
Łukasz Poręba,Zagłębie Lubin,pomocnik,117,1,14.07.2020,Wisła K.
Igor Angulo,Górnik Zabrze,napastnik,109,1,10.07.2020,Raków
Michał Skóraś,Lech Poznań,pomocnik,104,5,21.12.2019,Lechia
Przemysław Bargiel,Śląsk Wrocław,pomocnik,100,5,-,-
Alasana Manneh,Górnik Zabrze,pomocnik,98,1,14.07.2020,Arka
Jakub Błaszczykowski,Wisła Kraków,pomocnik,98,1,23.06.2020,Wisła P.
Szymon Włodarczyk,Legia Warszawa,napastnik,95,2,-,-
Paweł Żuk,Lechia Gdańsk,pomocnik,93,2,-,-
Dejan Drazić,Zagłębie Lubin,pomocnik,92,1,23.06.2020,Arka
Kacper Chodyna,Zagłębie Lubin,pomocnik,90,1,-,-
Aleksander Pawlak,Wisła Płock,napastnik,89,4,-,-
Bartosz Białek,Zagłębie Lubin,napastnik,78,0,18.07.2020,Górnik Z.
Gerard Badia,Piast Gliwice,pomocnik,77,2,08.03.2020,Legia
Piotr Malinowski,Raków Częstochowa,pomocnik,75,0,23.06.2020,Korona
Tomas Pekhart,Legia Warszawa,napastnik,67,0,11.07.2020,Cracovia
Wiktor Długosz,Korona Kielce,pomocnik,66,4,-,-
D'sean Theobalds,Korona Kielce,pomocnik,64,2,-,-
Ze Gomes,Lechia Gdańsk,napastnik,63,2,12.07.2020,Lech
Krzysztof Mączyński,Śląsk Wrocław,pomocnik,63,0,19.07.2020,Lechia
Mateusz Wdowiak,Cracovia,pomocnik,61,0,19.07.2020,Piast
Jorge Felix,Piast Gliwice,pomocnik,61,0,12.07.2020,Jagiellonia
Marcel Wędrychowski,Pogoń Szczecin,pomocnik,61,2,-,-
Jakov Puljić,Jagiellonia Białystok,napastnik,59,1,15.07.2020,Śląsk
Egy Maulana Vikri,Lechia Gdańsk,pomocnik,57,3,-,-
Pedro Tiba,Lech Poznań,pomocnik,55,0,19.07.2020,Jagiellonia
Juliusz Letniowski,Lech Poznań,pomocnik,54,5,-,-
Jakub Górski,Korona Kielce,pomocnik,53,2,-,-
Alon Turgeman,Wisła Kraków,napastnik,53,0,14.07.2020,Zagłębie L.
Marcin Listkowski,Pogoń Szczecin,pomocnik,52,0,19.07.2020,Legia
Oskar Zawada,Arka Gdynia,napastnik,49,0,18.07.2020,Wisła K.
Filip Marchwiński,Lech Poznań,pomocnik,48,1,15.07.2020,Cracovia
Mateusz Sowiński,Korona Kielce,pomocnik,44,2,-,-
Omran Haydary,Lechia Gdańsk,pomocnik,44,0,19.07.2020,Śląsk
Karol Struski,Jagiellonia Białystok,pomocnik,41,2,-,-
Filip Szymczak,Lech Poznań,napastnik,38,4,-,-
Łukasz Sekulski,ŁKS Łódź,napastnik,37,1,11.07.2020,Arka
Jakub Kamiński,Lech Poznań,pomocnik,34,0,19.07.2020,Jagiellonia
Christian Gytkjaer,Lech Poznań,napastnik,33,0,19.07.2020,Jagiellonia
Mateusz Kaczmarek,Raków Częstochowa,pomocnik,33,1,-,-
Kacper Kozłowski,Pogoń Szczecin,pomocnik,31,4,-,-
Mateusz Stępień,Arka Gdynia,pomocnik,28,2,-,-
Vamara Sanogo,Legia Warszawa,napastnik,28,1,10.06.2020,Arka
Jakub Sypek,Zagłębie Lubin,pomocnik,26,2,-,-
Kacper Smoliński,Pogoń Szczecin,pomocnik,22,1,12.07.2020,Śląsk
Filip Starzyński,Zagłębie Lubin,pomocnik,20,0,18.07.2020,Górnik Z.
Samu Corral,ŁKS Łódź,napastnik,19,0,14.07.2020,Raków
Vinicius Ferreira,Cracovia,napastnik,18,1,-,-
Tomasz Bała,Cracovia,napastnik,18,1,-,-
Iwo Kaczmarski,Korona Kielce,pomocnik,18,0,18.07.2020,ŁKS
Tomasz Jodłowiec,Piast Gliwice,pomocnik,16,0,19.07.2020,Cracovia
Erik Pacinda,Korona Kielce,pomocnik,15,0,04.03.2020,Śląsk
Walerian Gwilia,Legia Warszawa,pomocnik,15,0,11.07.2020,Cracovia
Aleksander Stawiarz,Jagiellonia Białystok,napastnik,14,1,-,-
Remigiusz Borkała,Piast Gliwice,pomocnik,13,1,-,-
Marcin Szpakowski,Śląsk Wrocław,pomocnik,12,1,-,-
Jakub Bator,Raków Częstochowa,pomocnik,11,1,-,-
Mateusz Grudziński,Legia Warszawa,pomocnik,11,1,-,-
Michał Rostkowski,Górnik Zabrze,pomocnik,10,1,-,-
Krzysztof Toporkiewicz,Jagiellonia Białystok,napastnik,10,2,-,-
Adam Frączczak,Pogoń Szczecin,pomocnik,9,0,19.07.2020,Legia
Sebastian Musiolik,Raków Częstochowa,napastnik,6,0,18.07.2020,Wisła P.
Patryk Soboczyński,Arka Gdynia,pomocnik,5,1,-,-
Jakub Wilczyński,Arka Gdynia,napastnik,4,1,-,-
Jakub Witek,Wisła Płock,pomocnik,3,1,-,-
Mikołaj Nawrocki,Jagiellonia Białystok,pomocnik,2,1,-,-
Mateusz Supryn,Cracovia,pomocnik,1,1,-,-
Daniel Szelągowski,Korona Kielce,pomocnik,1,0,18.07.2020,ŁKS
Felicio Brown Forbes,Raków Częstochowa,napastnik,0,0,18.07.2020,Wisła P.
Damian Warchoł,Legia Warszawa,napastnik,0,0,19.07.2020,Pogoń
