ZAWODNIK,KLUB,MIN BEZ GOLA,MECZE BEZ GOLA,OSTATNI GOL,OSTATNI GOL PRZECIW,MIN BEZ GOLA LUB ASYSTY,MECZE BEZ GOLA LUB ASYSTY,OSTATNI GOL LUB ASYSTA,OSTATNI GOL LUB ASYSTA PRZECIW
Jurich Carolina,Miedź Legnica,1803,22,-,-,1447,17,06.11.2022,Śląsk
Arkadiusz Kasperkiewicz,Stal Mielec,1792,24,31.07.2022,Raków,1155,16,02.10.2022,Miedź
Filip Dagerstal,Lech Poznań,1665,20,-,-,61,0,27.05.2023,Jagiellonia
Richard Jensen,Górnik Zabrze,1631,22,10.09.2022,Piast,391,5,14.04.2023,Zagłębie L
Yuri Ribeiro,Legia Warszawa,1533,17,04.11.2022,Lechia,1533,17,04.11.2022,Lechia
Marius Briceag,Korona Kielce,1513,17,-,-,30,0,27.05.2023,Widzew
Joel Abu Hanna,Lechia Gdańsk,1507,22,-,-,1507,22,-,-
Patryk Janasik,Śląsk Wrocław,1470,19,21.05.2022,Górnik Z,1470,19,21.05.2022,Górnik Z
Alan Czerwiński,Lech Poznań,1443,21,21.05.2022,Zagłębie L,263,3,16.04.2023,Legia
Bożidar Czorbadżijski,Widzew Łódź,1396,26,27.11.2021,Śląsk,1396,26,27.11.2021,Śląsk
Miłosz Matysik,Jagiellonia Białystok,1395,21,04.03.2022,Stal,479,6,24.02.2023,Raków
Mario Maloca,Lechia Gdańsk,1345,15,18.11.2022,Górnik Z,1345,15,18.11.2022,Górnik Z
Martin Sulek,Wisła Płock,1326,20,-,-,1326,20,-,-
Paweł Olkowski,Górnik Zabrze,1323,22,13.08.2022,Stal,1323,22,13.08.2022,Stal
Rafał Janicki,Górnik Zabrze,1321,16,21.05.2022,Śląsk,598,8,10.09.2022,Piast
Dimitris Stavropoulos,Warta Poznań,1311,16,05.11.2022,Piast,1311,16,05.11.2022,Piast
Stratos Svarnas,Raków Częstochowa,1281,14,28.01.2023,Warta,1209,13,04.02.2023,Piast
Mike Cestor,Radomiak Radom,1273,16,-,-,872,11,25.02.2023,Lechia
Jakub Szymański,Wisła Płock,1270,20,-,-,1270,20,-,-
Mateusz Skrzypczak,Jagiellonia Białystok,1237,15,12.11.2022,Lech,1237,15,12.11.2022,Lech
Bartosz Salamon,Lech Poznań,1213,15,12.02.2022,Bruk-Bet,1213,15,12.02.2022,Bruk-Bet
Mateusz Grzybek,Zagłębie Lubin,1161,16,13.11.2022,Pogoń,734,8,18.03.2023,Jagiellonia
Paweł Zieliński,Widzew Łódź,1153,23,18.05.2019,Wisła K,583,13,12.11.2022,Korona
Bartosz Kieliba,Warta Poznań,1095,15,25.09.2020,Wisła P,1095,15,25.09.2020,Wisła P
Mato Milos,Widzew Łódź,1095,14,12.11.2022,Korona,725,9,24.02.2023,Legia
Jakub Jugas,Cracovia,1043,12,12.02.2023,Legia,1043,12,12.02.2023,Legia
Dimityr Wełkowski,Miedź Legnica,1036,14,-,-,640,7,10.04.2023,Legia
Otar Kakabadze,Cracovia,1021,11,17.02.2023,Stal,843,9,05.03.2023,Śląsk
Łukasz Bejger,Śląsk Wrocław,1008,11,05.03.2023,Cracovia,1008,11,05.03.2023,Cracovia
Fabio Nunes,Widzew Łódź,992,14,-,-,84,1,21.05.2023,Radomiak
Raphael Rossi,Radomiak Radom,970,12,05.02.2023,Stal,970,12,05.02.2023,Stal
Nemanja Mijusković,Miedź Legnica,961,10,05.03.2023,Jagiellonia,961,10,05.03.2023,Jagiellonia
Jakub Holubek,Piast Gliwice,952,24,23.04.2022,Jagiellonia,892,23,29.04.2022,Warta
Michael Kostka,Miedź Legnica,944,26,-,-,944,26,-,-
Jonatan Kotzke,Górnik Zabrze,903,16,-,-,903,16,-,-
Linus Wahlqvist,Pogoń Szczecin,896,12,-,-,353,4,08.04.2023,Cracovia
Mateusz Żukowski,Lech Poznań,895,13,28.08.2021,Radomiak,228,5,06.11.2021,Zagłębie L
Mateusz Bartolewski,Zagłębie Lubin,837,13,06.05.2022,Radomiak,837,13,06.05.2022,Radomiak
Aleksander Pawlak,Wisła Płock,828,13,18.09.2022,Zagłębie L,828,13,18.09.2022,Zagłębie L
Pedro Justiniano,Radomiak Radom,827,12,-,-,827,12,-,-
Robert Ivanov,Warta Poznań,822,10,25.02.2023,Warta,822,10,25.02.2023,Warta
Dusan Stojinović,Jagiellonia Białystok,817,12,-,-,817,12,-,-
Leo Borges,Pogoń Szczecin,811,14,-,-,811,14,-,-
Michał Nalepa,Lechia Gdańsk,797,9,13.11.2022,Piast,703,8,18.11.2022,Górnik Z
Arttu Hoskonen,Cracovia,667,9,25.02.2023,Piast,667,9,25.02.2023,Piast
Jakub Lewicki,Jagiellonia Białystok,659,12,23.10.2022,Śląsk,448,8,11.02.2023,Pogoń
Miguel Munoz,Piast Gliwice,657,9,-,-,657,9,-,-
Mattias Johansson,Legia Warszawa,652,9,12.08.2022,Widzew,652,9,12.08.2022,Widzew
Jan Grzesik,Warta Poznań,649,9,25.02.2023,Warta,649,9,25.02.2023,Warta
Dominykas Barauskas,Stal Mielec,625,8,-,-,625,8,-,-
Adrian Gryszkiewicz,Raków Częstochowa,622,7,12.12.2021,Pogoń,622,7,12.12.2021,Pogoń
Jarosław Jach,Zagłębie Lubin,612,7,27.02.2023,Miedź,612,7,27.02.2023,Miedź
Leonardo Koutris,Pogoń Szczecin,599,6,08.04.2023,Cracovia,599,6,08.04.2023,Cracovia
Henrik Castegren,Lechia Gdańsk,592,7,-,-,592,7,-,-
Emil Bergstrom,Górnik Zabrze,578,6,14.04.2023,Zagłębie L,578,6,14.04.2023,Zagłębie L
Antonio Milić,Lech Poznań,561,6,03.03.2023,Lechia,561,6,03.03.2023,Lechia
Dominick Zator,Korona Kielce,551,6,15.04.2023,Jagiellonia,450,5,15.04.2023,Jagiellonia
David Jablonsky,Cracovia,546,6,30.01.2023,Górnik Z,546,6,30.01.2023,Górnik Z
Fran Tudor,Raków Częstochowa,540,6,16.04.2023,Widzew,375,4,28.04.2023,Lechia
Kamil Pestka,Cracovia,536,7,13.05.2022,Wisła P,301,4,23.07.2022,Korona
Danijel Loncar,Pogoń Szczecin,515,8,-,-,515,8,-,-
Martin Kreuzriegler,Widzew Łódź,512,8,02.04.2023,Cracovia,512,8,02.04.2023,Cracovia
Wiktor Pleśnierowicz,Warta Poznań,509,15,-,-,509,15,-,-
Filip Mladenović,Legia Warszawa,468,6,12.03.2023,Stal,310,4,01.04.2023,Raków
Lindsay Rose,Legia Warszawa,465,11,19.08.2022,Górnik Z,465,11,19.08.2022,Górnik Z
Adrian Bukowski,Śląsk Wrocław,465,10,-,-,465,10,-,-
Michał Pazdan,Jagiellonia Białystok,365,5,18.03.2023,Zagłębie L,365,5,18.03.2023,Zagłębie L
Jakub Bartkowski,Lechia Gdańsk,362,4,22.04.2023,Cracovia,362,4,22.04.2023,Cracovia
Constantin Reiner,Piast Gliwice,325,3,16.09.2022,Śląsk,325,3,16.09.2022,Śląsk
Kyryło Petrow,Korona Kielce,321,3,30.04.2023,Stal,71,0,27.05.2023,Widzew
Bartosz Kopacz,Zagłębie Lubin,320,3,06.05.2023,Lechia,320,3,06.05.2023,Lechia
Aleksander Paluszek,Górnik Zabrze,307,6,05.11.2022,Pogoń,307,6,05.11.2022,Pogoń
Kamil Kruk,Stal Mielec,288,3,30.04.2023,Korona,288,3,30.04.2023,Korona
Bogdan Racovitan,Raków Częstochowa,277,4,22.04.2023,Miedź,218,3,28.04.2023,Lechia
Tomas Petrasek,Raków Częstochowa,276,4,24.02.2023,Jagiellonia,276,4,24.02.2023,Jagiellonia
Igor Drapiński,Wisła Płock,228,9,-,-,228,9,-,-
Kacper Lepczyński,Zagłębie Lubin,228,4,-,-,228,4,-,-
Boris Sekulić,Górnik Zabrze,226,2,13.05.2023,Widzew,226,2,45059,Widzew
Arkadiusz Pyrka,Piast Gliwice,204,2,12.05.2023,Korona,204,2,12.05.2023,Korona
Dawid Więckowski,Korona Kielce,180,2,-,-,180,2,-,-
Maik Nawrocki,Legia Warszawa,149,2,12.05.2023,Jagiellonia,149,2,12.05.2023,Jagiellonia
Dawid Abramowicz,Radomiak Radom,135,1,21.05.2023,Widzew,135,1,21.05.2023,Widzew
Andrzej Niewulis,Miedź Legnica,122,1,21.05.2023,Śląsk,122,1,21.05.2023,Śląsk
Mateusz Stawny,Śląsk Wrocław,103,2,-,-,103,2,-,-
Michał Stachera,Cracovia,90,1,-,-,90,1,-,-
Michał Ozga,Jagiellonia Białystok,90,1,-,-,90,1,-,-
Radosław Seweryś,Korona Kielce,90,1,-,-,90,1,-,-
Michał Gurgul,Lech Poznań,90,3,-,-,90,3,-,-
Tomas Huk,Piast Gliwice,90,1,21.05.2022,Radomiak,90,1,21.05.2022,Radomiak
Rafał Augustyniak,Legia Warszawa,41,0,27.05.2023,Śląsk,41,0,27.05.2023,Śląsk
Piotr Malarczyk,Korona Kielce,40,0,27.05.2023,Widzew,40,0,27.05.2023,Widzew
Lubomir Satka,Lech Poznań,34,0,27.05.2023,Jagiellonia,34,0,27.05.2023,Jagiellonia
Virgil Ghita,Cracovia,28,0,27.05.2023,Wisła P,28,0,27.05.2023,Wisła P
Łukasz Gerstenstein,Śląsk Wrocław,2,1,-,-,2,1,-,-
Krystian Bracik,Cracovia,1,1,-,-,1,1,-,-
