ZAWODNIK,KLUB,POZYCJA,MIN BEZ GOLA,MECZE BEZ GOLA,OSTATNI GOL,OSTATNI GOL PRZECIW,MIN BEZ GOLA LUB ASYSTY,MECZE BEZ GOLA LUB ASYSTY,OSTATNI GOL LUB ASYSTA,OSTATNI GOL LUB ASYSTA PRZECIW
Josue,Legia Warszawa,pomocnik,420,4,28.04.2024,Stal,50,0,25.05.2024,Zagłębie L
Bartłomiej Poczobut,Puszcza Niepołomice,pomocnik,420,12,27.10.2023,Korona,420,12,27.10.2023,Korona
Filip Wilak,Ruch Chorzów,napastnik,394,18,-,-,121,2,13.05.2024,Radomiak
Jakub Myszor,Raków Częstochowa,pomocnik,393,20,16.10.2022,Miedź,393,20,16.10.2022,Miedź
Jakub Łukowski,Korona Kielce,pomocnik,370,9,27.05.2023,Widzew,370,9,27.05.2023,Widzew
Damian Kądzior,Piast Gliwice,pomocnik,370,7,18.12.2023,Stal,370,7,18.12.2023,Stal
Martin Remacle,Korona Kielce,pomocnik,351,4,29.04.2024,Puszcza,351,4,29.04.2024,Puszcza
Mateusz Kupczak,Warta Poznań,pomocnik,348,3,05.05.2024,Widzew,348,3,05.05.2024,Widzew
Danny Trejo,Korona Kielce,pomocnik,342,5,19.04.2024,Radomiak,342,5,19.04.2024,Radomiak
Noah Diliberto,Widzew Łódź,pomocnik,341,8,25.02.2024,Górnik Z,341,8,25.02.2024,Górnik Z
Sebastian Musiolik,Górnik Zabrze,napastnik,331,5,19.04.2024,Raków,301,4,27.04.2024,ŁKS
Kacper Śmiglewski,Cracovia,napastnik,319,15,-,-,260,8,30.09.2023,ŁKS
Miłosz Kozak,Ruch Chorzów,pomocnik,317,5,20.04.2024,Widzew,32,0,25.05.2024,Cracovia
Mateusz Matras,Stal Mielec,pomocnik,312,3,04.05.2024,Jagiellonia,312,3,04.05.2024,Jagiellonia
Alen Mustafić,Śląsk Wrocław,pomocnik,311,6,-,-,311,6,-,-
Kamil Cybulski,Widzew Łódź,pomocnik,306,8,-,-,306,8,-,-
Rafa Santos,Stal Mielec,pomocnik,301,13,-,-,301,13,-,-
Burak Ince,Śląsk Wrocław,pomocnik,301,12,30.09.2023,Warta,301,12,30.09.2023,Warta
Patryk Makuch,Cracovia,napastnik,287,3,03.05.2024,Górnik Z,91,1,19.05.2024,Raków
Lawrence Ennali,Górnik Zabrze,pomocnik,285,3,27.04.2024,ŁKS,285,3,27.04.2024,ŁKS
Kamil Ogorzały,Cracovia,pomocnik,284,11,-,-,284,11,-,-
Filip Rózga,Cracovia,pomocnik,273,13,-,-,98,2,03.05.2024,Górnik Z
Thiago Ceijas,ŁKS Łódź,pomocnik,273,8,-,-,273,8,-,-
Stefan Savić,Warta Poznań,pomocnik,266,10,11.02.2024,Raków,266,10,11.02.2024,Raków
Krystian Okoniewski,Radomiak Radom,pomocnik,261,16,-,-,261,16,-,-
Damjan Bohar,Zagłębie Lubin,pomocnik,259,9,29.07.2023,Śląsk,259,9,29.07.2023,Śląsk
Władysław Koczerhin,Raków Częstochowa,pomocnik,253,3,27.04.2024,Widzew,253,3,27.04.2024,Widzew
Adam Zrelak,Warta Poznań,napastnik,252,4,22.04.2024,Stal,252,4,22.04.2024,Stal
Grzegorz Tomasiewicz,Piast Gliwice,pomocnik,246,4,26.04.2024,Warta,246,4,26.04.2024,Warta
Artur Sobiech,Lech Poznań,napastnik,241,11,27.05.2023,Jagiellonia,32,2,02.12.2023,Korona
Peter Barath,Raków Częstochowa,pomocnik,239,10,-,-,239,10,-,-
Filip Przybułek,Widzew Łódź,pomocnik,238,4,-,-,238,4,-,-
Norbert Barczak,Górnik Zabrze,pomocnik,235,5,-,-,235,5,-,-
Joao Peglow,Radomiak Radom,pomocnik,231,8,-,-,231,8,-,-
Lisandro Semedo,Radomiak Radom,pomocnik,230,3,05.05.2024,Legia,230,3,05.05.2024,Legia
Paweł Olkowski,Górnik Zabrze,pomocnik,228,13,06.11.2023,Cracovia,228,13,06.11.2023,Cracovia
Kacper Chodyna,Zagłębie Lubin,pomocnik,227,2,12.05.2024,Widzew,165,1,20.05.2024,ŁKS
Kai Meriluoto,Stal Mielec,napastnik,222,10,09.12.2023,Cracovia,222,10,09.12.2023,Cracovia
Leonardo Rocha,Radomiak Radom,napastnik,221,4,08.03.2024,Piast,221,4,08.03.2024,Piast
Vagner Dias,Radomiak Radom,pomocnik,217,3,05.05.2024,Legia,217,3,05.05.2024,Legia
Michał Rzuchowski,Śląsk Wrocław,pomocnik,215,4,15.12.2023,Zagłębie L,215,4,15.12.2023,Zagłębie L
Jędrzej Zając,ŁKS Łódź,pomocnik,214,5,10.12.2023,Legia,214,5,10.12.2023,Legia
Łukasz Zwoliński,Raków Częstochowa,napastnik,212,10,17.02.2024,Piast,212,10,17.02.2024,Piast
Piotr Samiec-Talar,Śląsk Wrocław,pomocnik,210,2,10.05.2024,Cracovia,41,0,25.05.2024,Raków
Blaz Kramer,Legia Warszawa,napastnik,205,3,25.02.2024,Korona,205,3,25.02.2024,Korona
Wojciech Łaski,Jagiellonia Białystok,pomocnik,204,8,29.07.2023,Puszcza,204,8,29.07.2023,Puszcza
Adrian Dalmau,Korona Kielce,napastnik,199,3,05.05.2024,Piast,25,0,25.05.2024,Lech
Afimico Pululu,Jagiellonia Białystok,napastnik,198,2,11.05.2024,Korona,62,0,25.05.2024,Warta
Dani Ramirez,ŁKS Łódź,pomocnik,197,2,04.05.2024,Śląsk,197,2,04.05.2024,Śląsk
Łukasz Moneta,Ruch Chorzów,pomocnik,197,6,30.03.2024,Raków,197,6,30.03.2024,Raków
Sebastian Kerk,Widzew Łódź,pomocnik,195,7,-,-,75,4,29.09.2023,Piast
Bartłomiej Barański,Ruch Chorzów,napastnik,194,2,13.05.2024,Radomiak,194,2,13.05.2024,Radomiak
Daniel Szczepan,Ruch Chorzów,napastnik,192,2,03.05.2024,Lech,192,2,03.05.2024,Lech
Jani Atanasov,Cracovia,pomocnik,187,3,03.05.2024,Górnik Z,187,3,03.05.2024,Górnik Z
Krzysztof Toporkiewicz,Jagiellonia Białystok,napastnik,187,9,-,-,187,9,-,-
Soichiro Kozuki,Górnik Zabrze,pomocnik,185,8,16.03.2024,Ruch,185,8,16.03.2024,Ruch
Kamil Grosicki,Pogoń Szczecin,pomocnik,185,2,11.05.2024,Raków,185,2,11.05.2024,Raków
Jorge Felix,Piast Gliwice,pomocnik,181,2,10.05.2024,ŁKS,181,2,10.05.2024,ŁKS
Bartłomiej Pawłowski,Widzew Łódź,pomocnik,180,2,20.04.2024,Ruch,180,2,20.04.2024,Ruch
Giannis Papanikolaou,Raków Częstochowa,pomocnik,178,2,11.05.2024,Pogoń,178,2,11.05.2024,Pogoń
Michał Walski,Puszcza Niepołomice,pomocnik,174,2,12.05.2024,Warta,174,2,12.05.2024,Warta
Rok Kidric,Puszcza Niepołomice,napastnik,173,4,23.07.2023,Widzew,39,1,26.08.2023,ŁKS
Maciej Rosołek,Legia Warszawa,napastnik,172,3,28.04.2024,Stal,172,3,28.04.2024,Stal
Kacper Smoliński,Pogoń Szczecin,pomocnik,170,6,23.09.2023,Cracovia,170,6,23.09.2023,Cracovia
Filip Kocaba,Zagłębie Lubin,pomocnik,164,6,-,-,164,6,-,-
Piotr Krawczyk,Górnik Zabrze,napastnik,163,5,08.04.2024,Zagłębie L,163,5,08.04.2024,Zagłębie L
Daniel Dudziński,Zagłębie Lubin,pomocnik,162,8,-,-,162,8,-,-
Jakub Stec,Puszcza Niepołomice,pomocnik,155,7,-,-,155,7,-,-
Wojciech Urbański,Legia Warszawa,pomocnik,153,6,-,-,153,6,-,-
Mateusz Wdowiak,Zagłębie Lubin,pomocnik,146,2,12.05.2024,Widzew,146,2,12.05.2024,Widzew
Kristoffer Velde,Lech Poznań,pomocnik,143,1,19.05.2024,Widzew,143,1,19.05.2024,Widzew
Dawid Kurminowski,Zagłębie Lubin,napastnik,143,1,20.05.2024,ŁKS,143,1,20.05.2024,ŁKS
Jardel,Radomiak Radom,napastnik,140,2,14.04.2024,ŁKS,140,2,14.04.2024,ŁKS
Miłosz Strzeboński,Korona Kielce,pomocnik,139,8,-,-,139,8,-,-
Kaan Caliskaner,Jagiellonia Białystok,napastnik,137,8,16.03.2024,Radomiak,29,2,11.05.2024,Korona
Imad Rondić,Widzew Łódź,napastnik,137,1,19.05.2024,Lech,137,1,19.05.2024,Lech
Jarosław Kubicki,Jagiellonia Białystok,pomocnik,132,8,30.03.2024,ŁKS,132,8,30.03.2024,ŁKS
Benjamin Kallman,Cracovia,napastnik,131,1,19.05.2024,Raków,131,1,19.05.2024,Raków
Andrejs Ciganiks,Widzew Łódź,pomocnik,131,1,12.05.2024,Zagłębie L,131,1,12.05.2024,Zagłębie L
Adrian Kapralik,Górnik Zabrze,pomocnik,125,1,17.05.2024,Puszcza,125,1,17.05.2024,Puszcza
Filip Marchwiński,Lech Poznań,pomocnik,115,2,21.04.2024,ŁKS,115,2,21.04.2024,ŁKS
Kristoffer Hansen,Jagiellonia Białystok,pomocnik,113,2,11.05.2024,Korona,113,2,11.05.2024,Korona
Michał Rakoczy,Cracovia,pomocnik,111,1,19.05.2024,Raków,111,1,19.05.2024,Raków
Ion Gheorghe,Stal Mielec,pomocnik,110,7,-,-,110,7,-,-
Olaf Korczakowski,Pogoń Szczecin,pomocnik,97,6,-,-,89,5,23.09.2023,Cracovia
Tomas Pekhart,Legia Warszawa,napastnik,96,1,13.04.2024,Raków,96,1,13.04.2024,Raków
Ivi Lopez,Raków Częstochowa,napastnik,95,4,16.04.2023,Widzew,95,4,16.04.2023,Widzew
Guilherme Zimovski,Radomiak Radom,pomocnik,93,4,14.04.2024,ŁKS,93,4,14.04.2024,ŁKS
Patryk Kusztal,Zagłębie Lubin,napastnik,93,7,-,-,93,7,-,-
Szczepan Mucha,Piast Gliwice,pomocnik,92,6,-,-,92,6,-,-
Filipe Nascimento,Górnik Zabrze,pomocnik,90,4,27.04.2024,ŁKS,90,4,27.04.2024,ŁKS
Michael Ameyaw,Piast Gliwice,pomocnik,88,1,18.05.2024,Jagiellonia,88,1,18.05.2024,Jagiellonia
Stipe Jurić,ŁKS Łódź,napastnik,85,2,21.04.2024,Lech,85,2,21.04.2024,Lech
Jakub Jezierski,Śląsk Wrocław,pomocnik,85,7,-,-,54,3,04.05.2024,ŁKS
Kay Tejan,ŁKS Łódź,napastnik,83,0,25.05.2024,Stal,83,0,25.05.2024,Stal
Jordan Majchrzak,Puszcza Niepołomice,napastnik,82,1,13.04.2024,Lech,0,0,13.04.2024,Lech
Taras Romanczuk,Jagiellonia Białystok,pomocnik,79,0,25.05.2024,Warta,79,0,25.05.2024,Warta
Mateusz Cholewiak,Puszcza Niepołomice,pomocnik,78,1,09.02.2024,Stal,78,1,09.02.2024,Stal
Bartosz Kapustka,Legia Warszawa,pomocnik,77,2,28.04.2024,Stal,77,2,28.04.2024,Stal
Patryk Paryzek,Pogoń Szczecin,napastnik,77,5,16.02.2024,Radomiak,77,5,16.02.2024,Radomiak
Nene,Jagiellonia Białystok,pomocnik,76,0,25.05.2024,Warta,76,0,25.05.2024,Warta
Ante Crnac,Raków Częstochowa,napastnik,72,0,25.05.2024,Śląsk,72,0,25.05.2024,Śląsk
Vinicius Matheus,Jagiellonia Białystok,napastnik,71,2,-,-,71,2,-,-
Marcin Cebula,Raków Częstochowa,pomocnik,71,3,17.02.2024,Piast,71,3,17.02.2024,Piast
Patryk Szwedzik,Śląsk Wrocław,napastnik,71,9,20.08.2023,Lech,71,9,20.08.2023,Lech
Filip Rejczyk,Legia Warszawa,pomocnik,70,6,-,-,70,6,-,-
Nono,Korona Kielce,pomocnik,68,0,17.03.2024,Pogoń,68,0,17.03.2024,Pogoń
Kamil Wilczek,Piast Gliwice,napastnik,66,1,10.05.2024,ŁKS,66,1,10.05.2024,ŁKS
Michał Feliks,Ruch Chorzów,napastnik,65,2,03.05.2024,Lech,0,0,25.05.2024,Cracovia
Dani Pacheco,Górnik Zabrze,pomocnik,61,1,11.05.2024,Stal,61,1,11.05.2024,Stal
Piotr Urbański,Piast Gliwice,napastnik,61,3,-,-,61,3,-,-
Filip Zawadzki,Widzew Łódź,pomocnik,60,3,-,-,60,3,-,-
Jakub Paszkowski,Warta Poznań,pomocnik,58,6,-,-,58,6,-,-
Qendrim Zyba,Legia Warszawa,pomocnik,57,6,-,-,57,6,-,-
Adam Vlkanova,Ruch Chorzów,pomocnik,57,1,13.05.2024,Radomiak,57,1,13.05.2024,Radomiak
Jesus Imaz,Jagiellonia Białystok,pomocnik,55,0,25.05.2024,Warta,55,0,25.05.2024,Warta
Engjell Hoti,ŁKS Łódź,pomocnik,52,0,25.05.2024,Stal,52,0,25.05.2024,Stal
Szymon Czyż,Górnik Zabrze,pomocnik,51,1,27.04.2024,ŁKS,51,1,27.04.2024,ŁKS
Oliwier Sławiński,ŁKS Łódź,napastnik,51,4,-,-,51,4,-,-
Marc Gual,Legia Warszawa,napastnik,50,0,25.05.2024,Zagłębie L,50,0,25.05.2024,Zagłębie L
Mikael Ishak,Lech Poznań,napastnik,45,0,25.05.2024,Korona,45,0,25.05.2024,Korona
Yadegar Rostami,ŁKS Łódź,pomocnik,45,4,-,-,45,4,-,-
Aleksander Iwańczyk,ŁKS Łódź,pomocnik,45,1,20.05.2024,Zagłębie L,45,1,20.05.2024,Zagłębie L
Luis Machado,Radomiak Radom,pomocnik,45,0,25.05.2024,Widzew,45,0,25.05.2024,Widzew
Jakub Lutostański,Śląsk Wrocław,napastnik,45,3,-,-,45,3,-,-
Mateusz Żukowski,Śląsk Wrocław,pomocnik,45,2,10.05.2024,Cracovia,45,2,10.05.2024,Cracovia
Ignacy Dawid,Widzew Łódź,pomocnik,44,6,-,-,44,6,-,-
Erik Exposito,Śląsk Wrocław,napastnik,41,0,25.05.2024,Raków,41,0,25.05.2024,Raków
Jan Sedlak,Ruch Chorzów,pomocnik,40,2,-,-,40,2,-,-
